,,,JAÚ SERVE,TENDA ATACADO,,,
Pasta dental Hortelã,90g,Colgate,"R$3,38",,"R$2,99","-R$0,39","-11,54%"
Pasta dental Defesa Reforçada,90g,Colgate,-,,"R$7,79",-,-%
Pasta dental Sensitive Pro-Alívio Imediato,90g,Colgate,"R$10,99",https://tenda-api.stoomlab.com.br/api/public/store/product/creme-dental-sensitive-pro-alivio-colgate-90g-28079,"R$13,59","R$2,60","23,66%"
Sabão Pedra Coco,5x200g,Urca,"R$13,25",,"R$11,19","-R$2,06","-15,55%"
,200g,Ype,-,,"R$2,59",-,-%
Sabonete Líquido Buque Jasmim Refil,200ml,Lux,"R$6,98",,"R$6,49","-R$0,49","-7,02%"
Sabonete Líquido Flor Lotus Refil,200ml,Lux,"R$6,98",,"R$6,79","-R$0,19","-2,72%"
Sal light,500g,Cisne,"R$8,99",,"R$5,29","-R$3,70","-41,16%"
Sardinha ao Óleo,125g,Gomes Costa,"R$4,98",,"R$3,89","-R$1,09","-21,89%"
Toalha de papel,2 unidades,Kitchen,"R$5,25",https://tenda-api.stoomlab.com.br/api/public/store/product/papel-toalha-kitchen-2-unidades-1232,"R$4,39","-R$0,86","-16,38%"
,2 unidades,Snack,,,"R$3,89",,
,2 unidades,Snob,"R$5,98",https://tenda-api.stoomlab.com.br/api/public/store/product/papel-toalha-snob-neutro-2-unidades-3291,"R$4,79","-R$1,19","-19,90%"
Torrada Integral,284g,Bauducco,"R$8,09",https://tenda-api.stoomlab.com.br/api/public/store/product/torrada-integral-bauducco-284g-27962,"R$6,49","-R$1,60","-19,78%"
Vinagre de fruta maça,750ml,Castelo,"R$7,98",,"R$6,79","-R$1,19","-14,91%"
